X(m),Y(m)
0.000001,4.00166E-06
0.000002,4.46387E-06
0.000003,3.73596E-06
0.000004,4.71989E-06
0.000005,4.97845E-06
0.000006,6.14067E-06
0.000007,6.30985E-06
0.000008,6.47478E-06
0.000009,6.4625E-06
0.00001,4.74462E-06
0.000011,4.09005E-06
0.000012,3.74568E-06
0.000013,4.55125E-06
0.000014,4.83937E-06
0.000015,5.2898E-06
0.000016,6.56874E-06
0.000017,6.43618E-06
0.000018,7.3187E-06
0.000019,7.57399E-06
0.00002,7.28807E-06
0.000021,7.08489E-06
0.000022,6.80169E-06
0.000023,6.08999E-06
0.000024,6.03559E-06
0.000025,5.28867E-06
0.000026,4.393E-06
0.000027,4.17956E-06
0.000028,3.91111E-06
0.000029,4.29413E-06
0.00003,5.03305E-06
0.000031,4.44067E-06
0.000032,4.14888E-06
0.000033,5.0592E-06
0.000034,5.64472E-06
0.000035,5.15226E-06
0.000036,5.07849E-06
0.000037,5.42827E-06
0.000038,4.70673E-06
0.000039,4.01904E-06
0.00004,3.33265E-06
0.000041,2.47461E-06
0.000042,2.80528E-06
0.000043,1.99333E-06
0.000044,1.72898E-06
0.000045,2.29777E-06
0.000046,2.32695E-06
0.000047,3.74925E-06
0.000048,3.80228E-06
0.000049,3.60128E-06
0.00005,3.35197E-06
0.000051,3.63166E-06
0.000052,2.7736E-06
0.000053,2.04663E-06
0.000054,2.23553E-06
0.000055,1.97485E-06
0.000056,2.70871E-06
0.000057,2.97978E-06
0.000058,4.68371E-06
0.000059,4.65632E-06
0.00006,5.33266E-06
0.000061,5.05958E-06
0.000062,5.11531E-06
0.000063,5.42855E-06
0.000064,6.40581E-06
0.000065,7.0862E-06
0.000066,8.10503E-06
0.000067,8.63679E-06
0.000068,9.10791E-06
0.000069,9.07047E-06
0.00007,8.6265E-06
0.000071,7.59031E-06
0.000072,6.94435E-06
0.000073,6.21764E-06
0.000074,5.15336E-06
0.000075,4.89919E-06
0.000076,4.50633E-06
0.000077,4.01264E-06
0.000078,4.17867E-06
0.000079,4.20885E-06
0.00008,3.59801E-06
0.000081,4.96256E-06
0.000082,5.98258E-06
0.000083,7.17944E-06
0.000084,6.97389E-06
0.000085,6.10628E-06
0.000086,5.93024E-06
0.000087,5.27037E-06
0.000088,4.05443E-06
0.000089,2.59499E-06
0.00009,8.73383E-07
0.000091,-7.37005E-07
0.000092,-4.13074E-06
0.000093,-4.60206E-06
0.000094,-5.45345E-06
0.000095,-6.28507E-06
0.000096,-6.83265E-06
0.000097,-6.84195E-06
0.000098,-6.07446E-06
0.000099,-4.47393E-06
0.0001,-3.21474E-06
0.000101,-2.99651E-06
